"Gemeente","Aantal"
"Westervoort",3
"Westerwolde",0
"Westland",27
"Weststellingwerf",5
"Westvoorne",3
"Wierden",6
"Wijchen",13
"Wijdemeren",4
"Wijk bij Duurstede",3
"Winterswijk",10
"Woensdrecht",10
"Woerden",21
"Wormerland",7
"Woudenberg",5
"Zaanstad",59
"Zaltbommel",24
"Zandvoort",3
"Zeewolde",9
"Zeist",27
"Zevenaar",6
"Zoetermeer",22
"Zoeterwoude",2
"Zuidplas",21
"Zundert",7
"Zutphen",21
"Zwartewaterland",19
"Zwijndrecht",27
"Zwolle",49
"'s-Hertogenbosch",142
"Aa en Hunze",6
"Aalsmeer",11
"Aalten",31
"Achtkarspelen",3
"Alblasserdam",20
"Albrandswaard",33
"Alkmaar",86
"Almelo",35
"Almere",134
"Alphen aan den Rijn",68
"Alphen-Chaam",4
"Altena",41
"Ameland",0
"Amersfoort",63
"Amstelveen",106
"Amsterdam",661
"Apeldoorn",167
"Appingedam",2
"Arnhem",110
"Assen",11
"Asten",33
"Baarle-Nassau",3
"Baarn",19
"Barendrecht",35
"Barneveld",43
"Beek",15
"Beekdaelen",53
"Beemster",1
"Beesel",17
"Berg en Dal",49
"Bergeijk",19
"Bergen (L.)",10
"Bergen (NH.)",12
"Bergen op Zoom",44
"Berkelland",44
"Bernheze",63
"Best",6
"Beuningen",16
"Beverwijk",21
"Bladel",15
"Blaricum",12
"Bloemendaal",6
"Bodegraven-Reeuwijk",15
"Boekel",13
"Borger-Odoorn",3
"Borne",8
"Borsele",8
"Boxmeer",42
"Boxtel",20
"Breda",80
"Brielle",6
"Bronckhorst",36
"Brummen",14
"Brunssum",24
"Bunnik",6
"Bunschoten",30
"Buren",15
"Capelle aan den IJssel",102
"Castricum",27
"Coevorden",14
"Cranendonck",59
"Cuijk",16
"Culemborg",17
"Dalfsen",32
"Dantumadiel",0
"De Bilt",28
"De Fryske Marren",18
"De Ronde Venen",28
"De Wolden",17
"Delft",43
"Delfzijl",3
"Den Helder",14
"Deurne",34
"Deventer",89
"Diemen",34
"Dinkelland",16
"Doesburg",12
"Doetinchem",30
"Dongen",17
"Dordrecht",120
"Drechterland",16
"Drimmelen",19
"Dronten",55
"Druten",65
"Duiven",16
"Echt-Susteren",22
"Edam-Volendam",42
"Ede",68
"Eemnes",7
"Eersel",19
"Eijsden-Margraten",40
"Eindhoven",131
"Elburg",55
"Emmen",35
"Enkhuizen",4
"Enschede",45
"Epe",54
"Ermelo",35
"Etten-Leur",50
"Geertruidenberg",16
"Geldrop-Mierlo",30
"Gemert-Bakel",33
"Gennep",16
"Gilze en Rijen",21
"Goeree-Overflakkee",49
"Goes",32
"Goirle",16
"Gooise Meren",36
"Gorinchem",48
"Gouda",111
"Grave",17
"Groningen",32
"Gulpen-Wittem",27
"Haaksbergen",25
"Haaren",8
"Haarlem",51
"Haarlemmermeer",51
"Halderberge",18
"Hardenberg",78
"Harderwijk",46
"Hardinxveld-Giessendam",11
"Harlingen",10
"Hattem",13
"Heemskerk",13
"Heemstede",7
"Heerde",88
"Heerenveen",45
"Heerhugowaard",68
"Heerlen",108
"Heeze-Leende",19
"Heiloo",18
"Hellendoorn",22
"Hellevoetsluis",22
"Helmond",97
"Hendrik-Ido-Ambacht",12
"Hengelo",40
"Het Hogeland",8
"Heumen",21
"Heusden",44
"Hillegom",12
"Hilvarenbeek",12
"Hilversum",75
"Hoeksche Waard",87
"Hof van Twente",25
"Hollands Kroon",17
"Hoogeveen",39
"Hoorn",29
"Horst aan de Maas",43
"Houten",35
"Huizen",51
"Hulst",7
"IJsselstein",45
"Kaag en Braassem",9
"Kampen",152
"Kapelle",8
"Katwijk",92
"Kerkrade",56
"Koggenland",13
"Krimpen aan den IJssel",25
"Krimpenerwaard",50
"Laarbeek",27
"Landerd",37
"Landgraaf",35
"Landsmeer",5
"Langedijk",13
"Lansingerland",55
"Laren",6
"Leeuwarden",7
"Leiden",39
"Leiderdorp",9
"Leidschendam-Voorburg",35
"Lelystad",66
"Leudal",74
"Leusden",10
"Lingewaard",40
"Lisse",7
"Lochem",51
"Loon op Zand",13
"Lopik",29
"Loppersum",0
"Losser",9
"Maasdriel",11
"Maasgouw",32
"Maassluis",16
"Maastricht",230
"Medemblik",28
"Meerssen",32
"Meierijstad",115
"Meppel",7
"Middelburg",13
"Midden-Delfland",3
"Midden-Drenthe",6
"Midden-Groningen",16
"Mill en Sint Hubert",15
"Moerdijk",26
"Molenlanden",41
"Montferland",50
"Montfoort",4
"Mook en Middelaar",13
"Neder-Betuwe",30
"Nederweert",7
"Nieuwegein",35
"Nieuwkoop",18
"Nijkerk",11
"Nijmegen",158
"Nissewaard",51
"Noardeast-Fryslân",16
"Noord-Beveland",1
"Noordenveld",9
"Noordoostpolder",35
"Noordwijk",14
"Nuenen, Gerwen en Nederwetten",19
"Nunspeet",74
"Oegstgeest",14
"Oirschot",19
"Oisterwijk",15
"Oldambt",6
"Oldebroek",53
"Oldenzaal",17
"Olst-Wijhe",17
"Ommen",20
"Oost Gelre",22
"Oosterhout",21
"Ooststellingwerf",3
"Oostzaan",6
"Opmeer",4
"Opsterland",10
"Oss",136
"Oude IJsselstreek",32
"Ouder-Amstel",8
"Oudewater",9
"Overbetuwe",29
"Papendrecht",23
"Peel en Maas",44
"Pekela",1
"Pijnacker-Nootdorp",46
"Purmerend",61
"Putten",3
"Raalte",75
"Reimerswaal",13
"Renkum",24
"Renswoude",8
"Reusel-De Mierden",8
"Rheden",15
"Rhenen",11
"Ridderkerk",29
"Rijssen-Holten",50
"Rijswijk",46
"Roerdalen",10
"Roermond",38
"Roosendaal",90
"Rotterdam",768
"Rozendaal",1
"Rucphen",21
"s-Gravenhage",461
"Schagen",23
"Scherpenzeel",6
"Schiedam",92
"Schiermonnikoog",0
"Schouwen-Duiveland",11
"Simpelveld",11
"Sint Anthonis",11
"Sint-Michielsgestel",28
"Sittard-Geleen",137
"Sliedrecht",15
"Sluis",5
"Smallingerland",26
"Soest",20
"Someren",34
"Son en Breugel",20
"Stadskanaal",3
"Staphorst",27
"Stede Broec",15
"Steenbergen",26
"Steenwijkerland",52
"Stein",33
"Stichtse Vecht",33
"Súdwest-Fryslân",25
"Terneuzen",40
"Terschelling",1
"Texel",3
"Teylingen",15
"Tholen",45
"Tiel",40
"Tilburg",177
"Tubbergen",22
"Twenterand",29
"Tynaarlo",7
"Tytsjerksteradiel",3
"Uden",40
"Uitgeest",7
"Uithoorn",16
"Urk",30
"Utrecht",235
"Utrechtse Heuvelrug",33
"Vaals",13
"Valkenburg aan de Geul",18
"Valkenswaard",44
"Veendam",2
"Veenendaal",73
"Veere",6
"Veldhoven",51
"Velsen",99
"Venlo",97
"Venray",36
"Vijfheerenlanden",86
"Vlaardingen",85
"Vlieland",0
"Vlissingen",9
"Voerendaal",17
"Voorschoten",10
"Voorst",15
"Vught",28
"Waadhoeke",35
"Waalre",6
"Waalwijk",46
"Waddinxveen",17
"Wageningen",24
"Wassenaar",19
"Waterland",7
"Weert",27
"Weesp",15
"West Betuwe",59
"West Maas en Waal",36
"Westerkwartier",15
"Westerveld",10
"Westervoort",19
"Westerwolde",1
"Westland",104
"Weststellingwerf",17
"Westvoorne",2
"Wierden",19
"Wijchen",55
"Wijdemeren",7
"Wijk bij Duurstede",15
"Winterswijk",20
"Woensdrecht",37
"Woerden",52
"Wormerland",12
"Woudenberg",7
"Zaanstad",118
"Zaltbommel",31
"Zandvoort",6
"Zeewolde",14
"Zeist",49
"Zevenaar",40
"Zoetermeer",82
"Zoeterwoude",1
"Zuidplas",54
"Zundert",23
"Zutphen",28
"Zwartewaterland",47
"Zwijndrecht",65
"Zwolle",126
"'s-Hertogenbosch",148
"Aa en Hunze",6
"Aalsmeer",12
"Aalten",15
"Achtkarspelen",4
"Alblasserdam",8
"Albrandswaard",25
"Alkmaar",90
"Almelo",37
"Almere",104
"Alphen aan den Rijn",54
"Alphen-Chaam",22
"Altena",32
"Ameland",0
"Amersfoort",54
"Amstelveen",112
"Amsterdam",606
"Apeldoorn",104
"Appingedam",2
"Arnhem",83
"Assen",20
"Asten",23
"Baarle-Nassau",11
"Baarn",16
"Barendrecht",41
"Barneveld",41
"Beek",9
"Beekdaelen",33
"Beemster",5
"Beesel",15
"Berg en Dal",52
"Bergeijk",17
"Bergen (L.)",7
"Bergen (NH.)",25
"Bergen op Zoom",25
"Berkelland",12
"Bernheze",89
"Best",23
"Beuningen",21
"Beverwijk",35
"Bladel",19
"Blaricum",5
"Bloemendaal",18
"Bodegraven-Reeuwijk",14
"Boekel",26
"Borger-Odoorn",4
"Borne",24
"Borsele",8
"Boxmeer",42
"Boxtel",18
"Breda",142
"Brielle",19
"Bronckhorst",11
"Brummen",10
"Brunssum",28
"Bunnik",10
"Bunschoten",17
"Buren",12
"Capelle aan den IJssel",97
"Castricum",35
"Coevorden",19
"Cranendonck",65
"Cuijk",23
"Culemborg",27
"Dalfsen",25
"Dantumadiel",6
"De Bilt",32
"De Fryske Marren",24
"De Ronde Venen",37
"De Wolden",16
"Delft",41
"Delfzijl",10
"Den Helder",17
"Deurne",57
"Deventer",62
"Diemen",21
"Dinkelland",31
"Doesburg",5
"Doetinchem",33
"Dongen",35
"Dordrecht",77
"Drechterland",21
"Drimmelen",15
"Dronten",26
"Druten",30
"Duiven",18
"Echt-Susteren",33
"Edam-Volendam",21
"Ede",70
"Eemnes",6
"Eersel",20
"Eijsden-Margraten",70
"Eindhoven",155
"Elburg",37
"Emmen",32
"Enkhuizen",12
"Enschede",94
"Epe",40
"Ermelo",33
"Etten-Leur",61
"Geertruidenberg",5
"Geldrop-Mierlo",41
"Gemert-Bakel",43
"Gennep",27
"Gilze en Rijen",23
"Goeree-Overflakkee",147
"Goes",30
"Goirle",28
"Gooise Meren",33
"Gorinchem",70
"Gouda",80
"Grave",24
"Groningen",47
"Gulpen-Wittem",30
"Haaksbergen",21
"Haaren",15
"Haarlem",132
"Haarlemmermeer",106
"Halderberge",25
"Hardenberg",68
"Harderwijk",37
"Hardinxveld-Giessendam",9
"Harlingen",3
"Hattem",21
"Heemskerk",52
"Heemstede",63
"Heerde",46
"Heerenveen",31
"Heerhugowaard",39
"Heerlen",122
"Heeze-Leende",24
"Heiloo",15
"Hellendoorn",30
"Hellevoetsluis",30
"Helmond",104
"Hendrik-Ido-Ambacht",13
"Hengelo",53
"Het Hogeland",14
"Heumen",23
"Heusden",36
"Hillegom",12
"Hilvarenbeek",10
"Hilversum",24
"Hoeksche Waard",70
"Hof van Twente",26
"Hollands Kroon",32
"Hoogeveen",22
"Hoorn",37
"Horst aan de Maas",41
"Houten",35
"Huizen",23
"Hulst",19
"IJsselstein",36
"Kaag en Braassem",9
"Kampen",105
"Kapelle",9
"Katwijk",47
"Kerkrade",61
"Koggenland",13
"Krimpen aan den IJssel",25
"Krimpenerwaard",55
"Laarbeek",40
"Landerd",42
"Landgraaf",54
"Landsmeer",10
"Langedijk",16
"Lansingerland",70
"Laren",13
"Leeuwarden",31
"Leiden",52
"Leiderdorp",12
"Leidschendam-Voorburg",30
"Lelystad",29
"Leudal",58
"Leusden",15
"Lingewaard",28
"Lisse",11
"Lochem",16
"Loon op Zand",13
"Lopik",13
"Loppersum",1
"Losser",11
"Maasdriel",15
"Maasgouw",31
"Maassluis",23
"Maastricht",227
"Medemblik",30
"Meerssen",33
"Meierijstad",155
"Meppel",18
"Middelburg",25
"Midden-Delfland",9
"Midden-Drenthe",12
"Midden-Groningen",7
"Mill en Sint Hubert",7
"Moerdijk",23
"Molenlanden",34
"Montferland",19
"Montfoort",22
"Mook en Middelaar",12
"Neder-Betuwe",42
"Nederweert",17
"Nieuwegein",43
"Nieuwkoop",20
"Nijkerk",28
"Nijmegen",223
"Nissewaard",60
"Noardeast-Fryslân",4
"Noord-Beveland",2
"Noordenveld",7
"Noordoostpolder",14
"Noordwijk",15
"Nuenen, Gerwen en Nederwetten",11
"Nunspeet",55
"Oegstgeest",10
"Oirschot",25
"Oisterwijk",19
"Oldambt",4
"Oldebroek",50
"Oldenzaal",16
"Olst-Wijhe",16
"Ommen",19
"Oost Gelre",18
"Oosterhout",36
"Ooststellingwerf",1
"Oostzaan",11
"Opmeer",3
"Opsterland",7
"Oss",175
"Oude IJsselstreek",24
"Ouder-Amstel",8
"Oudewater",26
"Overbetuwe",38
"Papendrecht",14
"Peel en Maas",100
"Pekela",2
"Pijnacker-Nootdorp",26
"Purmerend",74
"Putten",10
"Raalte",29
"Reimerswaal",5
"Renkum",19
"Renswoude",8
"Reusel-De Mierden",8
"Rheden",32
"Rhenen",10
"Ridderkerk",52
"Rijssen-Holten",50
"Rijswijk",28
"Roerdalen",22
"Roermond",50
"Roosendaal",60
"Rotterdam",706
"Rozendaal",0
"Rucphen",17
"s-Gravenhage",357
"Schagen",34
"Scherpenzeel",10
"Schiedam",48
"Schiermonnikoog",0
"Schouwen-Duiveland",14
"Simpelveld",18
"Sint Anthonis",34
"Sint-Michielsgestel",31
"Sittard-Geleen",92
"Sliedrecht",16
"Sluis",7
"Smallingerland",12
"Soest",32
"Someren",37
"Son en Breugel",25
"Stadskanaal",2
"Staphorst",21
"Stede Broec",19
"Steenbergen",20
"Steenwijkerland",18
"Stein",38
"Stichtse Vecht",31
"Súdwest-Fryslân",36
"Terneuzen",43
"Terschelling",1
"Texel",5
"Teylingen",18
"Tholen",66
"Tiel",31
"Tilburg",187
"Tubbergen",46
"Twenterand",19
"Tynaarlo",15
"Tytsjerksteradiel",10
"Uden",86
"Uitgeest",10
"Uithoorn",19
"Urk",20
"Utrecht",262
"Utrechtse Heuvelrug",38
"Vaals",11
"Valkenburg aan de Geul",35
"Valkenswaard",71
"Veendam",4
"Veenendaal",46
"Veere",11
"Veldhoven",35
"Velsen",111
"Venlo",109
"Venray",42
"Vijfheerenlanden",90
"Vlaardingen",66
"Vlieland",0
"Vlissingen",30
"Voerendaal",16
"Voorschoten",17
"Voorst",23
"Vught",38
"Waadhoeke",42
"Waalre",15
"Waalwijk",36
"Waddinxveen",23
"Wageningen",14
"Wassenaar",12
"Waterland",8
"Weert",62
"Weesp",16
"West Betuwe",67
"West Maas en Waal",24
"Westerkwartier",28
"Westerveld",18
"Westervoort",9
"Westerwolde",2
"Westland",81
"Weststellingwerf",4
"Westvoorne",12
"Wierden",17
"Wijchen",38
"Wijdemeren",10
"Wijk bij Duurstede",8
"Winterswijk",7
"Woensdrecht",8
"Woerden",55
"Wormerland",19
"Woudenberg",11
"Zaanstad",139
"Zaltbommel",22
"Zandvoort",17
"Zeewolde",10
"Zeist",49
"Zevenaar",31
"Zoetermeer",53
"Zoeterwoude",5
"Zuidplas",41
"Zundert",22
"Zutphen",27
"Zwartewaterland",43
"Zwijndrecht",23
"Zwolle",121
"'s-Hertogenbosch",88
"Aa en Hunze",1
"Aalsmeer",9
"Aalten",2
"Achtkarspelen",1
"Alblasserdam",6
"Albrandswaard",17
"Alkmaar",24
"Almelo",10
"Almere",27
"Alphen aan den Rijn",20
"Alphen-Chaam",17
"Altena",30
"Ameland",0
"Amersfoort",45
"Amstelveen",48
"Amsterdam",360
"Apeldoorn",35
"Appingedam",0
"Arnhem",24
"Assen",5
"Asten",6
"Baarle-Nassau",4
"Baarn",4
"Barendrecht",15
"Barneveld",12
"Beek",13
"Beekdaelen",23
"Beemster",2
"Beesel",8
"Berg en Dal",34
"Bergeijk",9
"Bergen (L.)",1
"Bergen (NH.)",12
"Bergen op Zoom",11
"Berkelland",3
"Bernheze",81
"Best",19
"Beuningen",12
"Beverwijk",7
"Bladel",15
"Blaricum",5
"Bloemendaal",15
"Bodegraven-Reeuwijk",5
"Boekel",38
"Borger-Odoorn",0
"Borne",8
"Borsele",4
"Boxmeer",12
"Boxtel",16
"Breda",138
"Brielle",1
"Bronckhorst",5
"Brummen",4
"Brunssum",19
"Bunnik",8
"Bunschoten",3
"Buren",6
"Capelle aan den IJssel",23
"Castricum",10
"Coevorden",4
"Cranendonck",29
"Cuijk",8
"Culemborg",8
"Dalfsen",12
"Dantumadiel",0
"De Bilt",26
"De Fryske Marren",10
"De Ronde Venen",10
"De Wolden",3
"Delft",20
"Delfzijl",2
"Den Helder",4
"Deurne",35
"Deventer",28
"Diemen",9
"Dinkelland",17
"Doesburg",5
"Doetinchem",10
"Dongen",8
"Dordrecht",26
"Drechterland",4
"Drimmelen",16
"Dronten",11
"Druten",7
"Duiven",3
"Echt-Susteren",21
"Edam-Volendam",9
"Ede",28
"Eemnes",1
"Eersel",16
"Eijsden-Margraten",21
"Eindhoven",97
"Elburg",7
"Emmen",8
"Enkhuizen",11
"Enschede",24
"Epe",17
"Ermelo",19
"Etten-Leur",26
"Geertruidenberg",11
"Geldrop-Mierlo",15
"Gemert-Bakel",73
"Gennep",7
"Gilze en Rijen",22
"Goeree-Overflakkee",45
"Goes",2
"Goirle",16
"Gooise Meren",16
"Gorinchem",10
"Gouda",17
"Grave",13
"Groningen",71
"Gulpen-Wittem",5
"Haaksbergen",3
"Haaren",8
"Haarlem",46
"Haarlemmermeer",28
"Halderberge",8
"Hardenberg",7
"Harderwijk",14
"Hardinxveld-Giessendam",1
"Harlingen",3
"Hattem",5
"Heemskerk",10
"Heemstede",17
"Heerde",21
"Heerenveen",3
"Heerhugowaard",15
"Heerlen",47
"Heeze-Leende",10
"Heiloo",9
"Hellendoorn",5
"Hellevoetsluis",4
"Helmond",54
"Hendrik-Ido-Ambacht",3
"Hengelo",17
"Het Hogeland",4
"Heumen",14
"Heusden",28
"Hillegom",4
"Hilvarenbeek",9
"Hilversum",20
"Hoeksche Waard",38
"Hof van Twente",6
"Hollands Kroon",9
"Hoogeveen",8
"Hoorn",16
"Horst aan de Maas",21
"Houten",22
"Huizen",8
"Hulst",0
"IJsselstein",16
"Kaag en Braassem",5
"Kampen",31
"Kapelle",2
"Katwijk",6
"Kerkrade",18
"Koggenland",4
"Krimpen aan den IJssel",6
"Krimpenerwaard",13
"Laarbeek",26
"Landerd",36
"Landgraaf",21
"Landsmeer",6
"Langedijk",11
"Lansingerland",21
"Laren",4
"Leeuwarden",12
"Leiden",20
"Leiderdorp",3
"Leidschendam-Voorburg",12
"Lelystad",24
"Leudal",29
"Leusden",13
"Lingewaard",12
"Lisse",2
"Lochem",6
"Loon op Zand",17
"Lopik",10
"Loppersum",1
"Losser",1
"Maasdriel",5
"Maasgouw",11
"Maassluis",7
"Maastricht",101
"Medemblik",4
"Meerssen",9
"Meierijstad",171
"Meppel",3
"Middelburg",7
"Midden-Delfland",2
"Midden-Drenthe",1
"Midden-Groningen",3
"Mill en Sint Hubert",7
"Moerdijk",5
"Molenlanden",16
"Montferland",4
"Montfoort",6
"Mook en Middelaar",6
"Neder-Betuwe",10
"Nederweert",19
"Nieuwegein",14
"Nieuwkoop",6
"Nijkerk",9
"Nijmegen",117
"Nissewaard",21
"Noardeast-Fryslân",3
"Noord-Beveland",1
"Noordenveld",1
"Noordoostpolder",5
"Noordwijk",6
"Nuenen, Gerwen en Nederwetten",10
"Nunspeet",30
"Oegstgeest",10
"Oirschot",8
"Oisterwijk",16
"Oldambt",0
"Oldebroek",13
"Oldenzaal",13
"Olst-Wijhe",6
"Ommen",7
"Oost Gelre",5
"Oosterhout",24
"Ooststellingwerf",1
"Oostzaan",6
"Opmeer",0
"Opsterland",2
"Oss",101
"Oude IJsselstreek",4
"Ouder-Amstel",9
"Oudewater",11
"Overbetuwe",40
"Papendrecht",6
"Peel en Maas",97
"Pekela",2
"Pijnacker-Nootdorp",12
"Purmerend",37
"Putten",5
"Raalte",10
"Reimerswaal",6
"Renkum",6
"Renswoude",0
"Reusel-De Mierden",5
"Rheden",16
"Rhenen",2
"Ridderkerk",8
"Rijssen-Holten",9
"Rijswijk",11
"Roerdalen",11
"Roermond",27
"Roosendaal",19
"Rotterdam",177
"Rozendaal",2
"Rucphen",6
"s-Gravenhage",78
"Schagen",9
"Scherpenzeel",3
"Schiedam",14
"Schiermonnikoog",0
"Schouwen-Duiveland",5
"Simpelveld",6
"Sint Anthonis",15
"Sint-Michielsgestel",17
"Sittard-Geleen",68
"Sliedrecht",5
"Sluis",5
"Smallingerland",3
"Soest",13
"Someren",14
"Son en Breugel",17
"Stadskanaal",0
"Staphorst",3
"Stede Broec",11
"Steenbergen",11
"Steenwijkerland",6
"Stein",23
"Stichtse Vecht",19
"Súdwest-Fryslân",8
"Terneuzen",10
"Terschelling",0
"Texel",2
"Teylingen",8
"Tholen",16
"Tiel",14
"Tilburg",205
"Tubbergen",3
"Twenterand",3
"Tynaarlo",14
"Tytsjerksteradiel",2
"Uden",91
"Uitgeest",4
"Uithoorn",8
"Urk",7
"Utrecht",188
"Utrechtse Heuvelrug",13
"Vaals",4
"Valkenburg aan de Geul",9
"Valkenswaard",11
"Veendam",1
"Veenendaal",6
"Veere",7
"Veldhoven",22
"Velsen",19
"Venlo",51
"Venray",17
"Vijfheerenlanden",21
"Vlaardingen",21
"Vlieland",0
"Vlissingen",8
"Voerendaal",6
"Voorschoten",5
"Voorst",5
"Vught",25
"Waadhoeke",0
"Waalre",4
"Waalwijk",38
"Waddinxveen",4
"Wageningen",3
"Wassenaar",6
"Waterland",10
"Weert",23
"Weesp",7
"West Betuwe",17
"West Maas en Waal",8
"Westerkwartier",11
"Westerveld",2
"Westervoort",2
"Westerwolde",3
"Westland",26
"Weststellingwerf",1
"Westvoorne",7
"Wierden",3
"Wijchen",26
"Wijdemeren",4
"Wijk bij Duurstede",5
"Winterswijk",2
"Woensdrecht",5
"Woerden",21
"Wormerland",4
"Woudenberg",6
"Zaanstad",29
"Zaltbommel",6
"Zandvoort",6
"Zeewolde",4
"Zeist",24
"Zevenaar",10
"Zoetermeer",13
"Zoeterwoude",1
"Zuidplas",5
"Zundert",13
"Zutphen",9
"Zwartewaterland",30
"Zwijndrecht",8
"Zwolle",47
"'s-Hertogenbosch",6
"Aa en Hunze",0
"Aalsmeer",3
"Aalten",0
"Achtkarspelen",0
"Alblasserdam",0
"Albrandswaard",1
"Alkmaar",1
"Almelo",1
"Almere",1
"Alphen aan den Rijn",2
"Alphen-Chaam",0
"Altena",5
"Ameland",0
"Amersfoort",3
"Amstelveen",2
"Amsterdam",16
"Apeldoorn",1
"Appingedam",0
"Arnhem",3
"Assen",0
"Asten",0
"Baarle-Nassau",0
"Baarn",0
"Barendrecht",1
"Barneveld",0
"Beek",0
"Beekdaelen",8
"Beemster",0
"Beesel",0
"Berg en Dal",3
"Bergeijk",1
"Bergen (L.)",0
"Bergen (NH.)",0
"Bergen op Zoom",1
"Berkelland",0
"Bernheze",2
"Best",3
"Beuningen",3
"Beverwijk",4
"Bladel",0
"Blaricum",1
"Bloemendaal",1
"Bodegraven-Reeuwijk",0
"Boekel",8
"Borger-Odoorn",0
"Borne",3
"Borsele",1
"Boxmeer",0
"Boxtel",0
"Breda",45
"Brielle",0
"Bronckhorst",2
"Brummen",0
"Brunssum",0
"Bunnik",0
"Bunschoten",0
"Buren",1
"Capelle aan den IJssel",0
"Castricum",0
"Coevorden",11
"Cranendonck",1
"Cuijk",1
"Culemborg",1
"Dalfsen",0
"Dantumadiel",0
"De Bilt",10
"De Fryske Marren",0
"De Ronde Venen",0
"De Wolden",0
"Delft",1
"Delfzijl",0
"Den Helder",1
"Deurne",3
"Deventer",0
"Diemen",0
"Dinkelland",3
"Doesburg",0
"Doetinchem",0
"Dongen",3
"Dordrecht",0
"Drechterland",0
"Drimmelen",4
"Dronten",0
"Druten",1
"Duiven",0
"Echt-Susteren",0
"Edam-Volendam",0
"Ede",0
"Eemnes",0
"Eersel",0
"Eijsden-Margraten",0
"Eindhoven",6
"Elburg",0
"Emmen",1
"Enkhuizen",0
"Enschede",2
"Epe",0
"Ermelo",1
"Etten-Leur",5
"Geertruidenberg",1
"Geldrop-Mierlo",1
"Gemert-Bakel",7
"Gennep",0
"Gilze en Rijen",0
"Goeree-Overflakkee",0
"Goes",2
"Goirle",6
"Gooise Meren",4
"Gorinchem",0
"Gouda",2
"Grave",0
"Groningen",0
"Gulpen-Wittem",0
"Haaksbergen",0
"Haaren",6
"Haarlem",2
"Haarlemmermeer",0
"Halderberge",0
"Hardenberg",0
"Harderwijk",1
"Hardinxveld-Giessendam",5
"Harlingen",0
"Hattem",0
"Heemskerk",0
"Heemstede",1
"Heerde",0
"Heerenveen",0
"Heerhugowaard",0
"Heerlen",3
"Heeze-Leende",1
"Heiloo",0
"Hellendoorn",2
"Hellevoetsluis",1
"Helmond",13
"Hendrik-Ido-Ambacht",0
"Hengelo",0
"Het Hogeland",0
"Heumen",0
"Heusden",2
"Hillegom",0
"Hilvarenbeek",2
"Hilversum",0
"Hoeksche Waard",3
"Hof van Twente",0
"Hollands Kroon",0
"Hoogeveen",0
"Hoorn",0
"Horst aan de Maas",0
"Houten",14
"Huizen",1
"Hulst",0
"IJsselstein",2
"Kaag en Braassem",0
"Kampen",0
"Kapelle",0
"Katwijk",1
"Kerkrade",0
"Koggenland",0
"Krimpen aan den IJssel",1
"Krimpenerwaard",3
"Laarbeek",0
"Landerd",1
"Landgraaf",0
"Landsmeer",0
"Langedijk",1
"Lansingerland",4
"Laren",0
"Leeuwarden",0
"Leiden",2
"Leiderdorp",0
"Leidschendam-Voorburg",2
"Lelystad",1
"Leudal",3
"Leusden",0
"Lingewaard",2
"Lisse",0
"Lochem",0
"Loon op Zand",7
"Lopik",0
"Loppersum",0
"Losser",0
"Maasdriel",0
"Maasgouw",0
"Maassluis",0
"Maastricht",8
"Medemblik",0
"Meerssen",0
"Meierijstad",14
"Meppel",0
"Middelburg",0
"Midden-Delfland",0
"Midden-Drenthe",0
"Midden-Groningen",0
"Mill en Sint Hubert",0
"Moerdijk",0
"Molenlanden",0
"Montferland",0
"Montfoort",0
"Mook en Middelaar",0
"Neder-Betuwe",1
"Nederweert",0
"Nieuwegein",0
"Nieuwkoop",0
"Nijkerk",0
"Nijmegen",5
"Nissewaard",1
"Noardeast-Fryslân",0
"Noord-Beveland",1
"Noordenveld",0
"Noordoostpolder",0
"Noordwijk",2
"Nuenen, Gerwen en Nederwetten",1
"Nunspeet",1
"Oegstgeest",2
"Oirschot",0
"Oisterwijk",4
"Oldambt",0
"Oldebroek",0
"Oldenzaal",0
"Olst-Wijhe",0
"Ommen",0
"Oost Gelre",0
"Oosterhout",2
"Ooststellingwerf",0
"Oostzaan",0
"Opmeer",0
"Opsterland",2
"Oss",2
"Oude IJsselstreek",0
"Ouder-Amstel",0
"Oudewater",0
"Overbetuwe",0
"Papendrecht",0
"Peel en Maas",3
"Pekela",0
"Pijnacker-Nootdorp",4
"Purmerend",1
"Putten",0
"Raalte",0
"Reimerswaal",1
"Renkum",7
"Renswoude",0
"Reusel-De Mierden",0
"Rheden",1
"Rhenen",0
"Ridderkerk",1
"Rijssen-Holten",0
"Rijswijk",0
"Roerdalen",0
"Roermond",1
"Roosendaal",1
"Rotterdam",15
"Rozendaal",0
"Rucphen",0
"s-Gravenhage",7
"Schagen",1
"Scherpenzeel",0
"Schiedam",0
"Schiermonnikoog",0
"Schouwen-Duiveland",1
"Simpelveld",2
"Sint Anthonis",0
"Sint-Michielsgestel",5
"Sittard-Geleen",21
"Sliedrecht",0
"Sluis",0
"Smallingerland",1
"Soest",8
"Someren",0
"Son en Breugel",2
"Stadskanaal",0
"Staphorst",1
"Stede Broec",0
"Steenbergen",0
"Steenwijkerland",0
"Stein",1
"Stichtse Vecht",5
"Súdwest-Fryslân",0
"Terneuzen",0
"Terschelling",0
"Texel",0
"Teylingen",0
"Tholen",0
"Tiel",1
"Tilburg",44
"Tubbergen",1
"Twenterand",0
"Tynaarlo",0
"Tytsjerksteradiel",0
"Uden",18
"Uitgeest",0
"Uithoorn",0
"Urk",0
"Utrecht",24
"Utrechtse Heuvelrug",2
